Title,URL,Description,Keywords,Contact,Licence,Status,Authors,Contributors,DOI,Version,Published,Modified,Competency,Fields,Audiences,Types,Other Types,Objectives,Prerequisites,Syllabus
Principles of Data Visualization,https://ubc-library-rc.github.io/basics_of_data_viz/,"An overview of the principles and practices of data visualization, covering commonly used approaches for turning messy data into clear visuals; no programming experience required.","data visualization, design principles, charts, visual communication, data analysis",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Maria Laricheva; Jeremy Buhler; UBC Library Research Commons,,,,2021-06-27,2025-04-25,,Data analysis and visualization,,workshop,,,,
R showcase: Statistics Canada microdata,https://ubc-library-rc.github.io/r-microdata/,"Demonstrates how to access, explore, and analyze Statistics Canada microdata using R.","R, Statistics Canada, microdata, census data, data analysis",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Siobhan Schenk; Jeremy Buhler; UBC Library Research Commons,,,,2024-05-15,2026-07-23,,Data analysis and visualization,,workshop,,,,
Regular Expressions in R,https://ubc-library-rc.github.io/RegEx_in_R/,"Introduces regular expressions (regex): what they are, when to use them, and hands-on practice within R.","R, regex, regular expressions, text processing, pattern matching",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Siobhan Schenk; Jeremy Buhler; UBC Library Research Commons,,,,2024-08-07,2026-06-01,,Data analysis and visualization,,workshop,,,Some initial experience with R; familiarity with the tidyverse package is helpful but not required.,
Using R Markdown (beginner),https://ubc-library-rc.github.io/r-markdown/,"Walks through the creation and use of R Markdown for producing reproducible, formatted output that combines narrative text, code, and plots.","R, R Markdown, reproducible research, reporting, RStudio",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Siobhan Schenk; Jeremy Buhler; UBC Library Research Commons,,,,2023-04-09,2025-02-19,,Data analysis and visualization,,workshop,,,Basic familiarity with R and RStudio.,
Working with data in Excel,https://ubc-library-rc.github.io/excel/,"A two-part workshop series covering Excel objects, data types, formulas, and basic visualizations, followed by working with CSV files and exploratory data analysis.","Excel, spreadsheets, data analysis, formulas, data cleaning",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Maria Laricheva; Jeremy Buhler; UBC Library Research Commons,,,,2021-09-22,2025-02-14,,Data analysis and visualization,,workshop,,,,
Building Exhibits with Omeka,https://ubc-library-rc.github.io/intro-omeka/,"An introduction to the free trial version of Omeka.net, a web publishing platform for displaying and curating digital collections.","Omeka, digital exhibits, digital scholarship, collections, web publishing",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eka Grguric; UBC Library Research Commons,,,,2020-09-16,2026-08-21,,Digital scholarship,,workshop,,,,
Building Exhibits with Wax,https://ubc-library-rc.github.io/intro-wax/,"An introduction to Wax, an open-source tool for creating simple, IIIF-compliant digital exhibits.","Wax, IIIF, digital exhibits, static site, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Holly Pickering; Eka Grguric; UBC Library Research Commons,,,,2020-11-05,2025-09-23,,Digital scholarship,,workshop,,,,
Building Project Websites with Jekyll and GitHub Pages,https://ubc-library-rc.github.io/intro-project-sites/,"Teaches the skills to create and publish a static website using Jekyll and GitHub Pages, covering setup, content organization, and customization.","Jekyll, GitHub Pages, static site, web publishing, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Evan Thornberry; Eka Grguric; UBC Library Research Commons,,,,2020-01-09,2025-06-18,,Digital scholarship,,workshop,,,A GitHub.com account; familiarity with the command line and with Git/GitHub is helpful.,
Creating Digital Exhibits: A Survey of Tools,https://ubc-library-rc.github.io/digital-exhibits-survey/,"A survey of digital exhibit and storytelling tools such as Omeka, Scalar, static site generators (CollectionBuilder, Wax), and narrative tools like Timeline.js and StoryMaps.","digital exhibits, Omeka, Scalar, StoryMaps, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,"minorikh (GitHub handle, real name not found); Eka Grguric; UBC Library Research Commons",,,,2021-03-29,2026-06-30,,Digital scholarship,,workshop,,,,
Creating XML Files in oXygen,https://ubc-library-rc.github.io/creating-xml-files-in-oxygen/,An approachable introduction to computational methods in the humanities: text encoding concepts and creating a basic XML file using the oXygen editor.,"XML, oXygen, text encoding, digital humanities, markup",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,"dorolees (GitHub handle, real name not found); Eka Grguric; UBC Library Research Commons",,,,2021-07-25,2025-07-10,,Digital scholarship,,workshop,,,,
Editing Audio with Audacity,https://ubc-library-rc.github.io/intro-audacity/,"An introduction to Audacity, free sound editing software, covering recording and editing audio for podcasts, oral histories, and narration.","Audacity, audio editing, podcasts, oral history, sound",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Donna Langille; Eka Grguric; UBC Library Research Commons,,,,2020-10-07,2025-09-23,,Digital scholarship,,workshop,,,,
Intermediate Jekyll,https://ubc-library-rc.github.io/intermediate-Jekyll/,"Builds on the introductory Jekyll workshop, covering customizing a Jekyll website using themes, the Liquid templating language, and plugins.","Jekyll, Liquid, themes, plugins, GitHub Pages",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Shayan Fahimi; Eka Grguric; UBC Library Research Commons,,,,2021-06-23,2025-07-10,,Digital scholarship,,workshop,,,"Completion of Introduction to Jekyll and GitHub Pages, and a GitHub account.",
Intro to Web Scraping with Python,https://ubc-library-rc.github.io/intro-web-scraping-Python/,"An introductory, Python-based web scraping workshop using free online notebooks (Google Colaboratory or Jupyter); no prior web scraping knowledge required.","Python, web scraping, Jupyter, Google Colab, data collection",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Mikhael Gaster; Eka Grguric; UBC Library Research Commons,,,,2021-06-30,2025-07-10,,Digital scholarship,,workshop,,,,
Introduction to APIs,https://ubc-library-rc.github.io/intro-api/,"Orients complete beginners to APIs: articulating what an API is, formulating an API query, and retrieving information through an API call.","API, web services, data retrieval, JSON, programming",eka.grguric@ubc.ca; jeremy.buhler@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eka Grguric; UBC Library Research Commons,,,,2020-01-24,2025-07-17,,Digital scholarship,,workshop,,,,
Introduction to Blockchain Research Skills,https://ubc-library-rc.github.io/intro-blockchain-research/,"A broad introduction to blockchain and other decentralized technologies, followed by exemplar research use cases across disciplines.","blockchain, decentralized technology, research skills, cryptocurrency, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Chelsea Palmer; Eka Grguric; UBC Library Research Commons,,,,2020-09-27,2026-08-21,,Digital scholarship,,workshop,,,,
Introduction to Docker,https://ubc-library-rc.github.io/intro-docker/,"Introduces the set of virtualization tools referred to as Docker, used to create and share small, reproducible computing environments.","Docker, containers, virtualization, reproducibility, computing environments",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Chelsea Palmer; Eka Grguric; UBC Library Research Commons,,,,2020-05-31,2026-08-21,,Digital scholarship,,workshop,,,,
Introduction to Git and GitHub,https://ubc-library-rc.github.io/intro-git/,Adapted from the Carpentries; introduces the basics of Git and GitHub for version control and collaboration.,"Git, GitHub, version control, collaboration, command line",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Jeremy Buhler; Eka Grguric; UBC Library Research Commons,,,,2019-12-10,2026-07-27,,Digital scholarship,,workshop,,,,
Introduction to Jekyll and GitHub Pages,https://ubc-library-rc.github.io/intro-jekyll/,Teaches participants how to use Jekyll and GitHub Pages to quickly and easily publish a static website using only a browser.,"Jekyll, GitHub Pages, static site, web publishing, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Liam Doherty; Eka Grguric; UBC Library Research Commons,,,,2020-06-22,2025-09-16,,Digital scholarship,,workshop,,,,
Introduction to Large Language Models,https://ubc-library-rc.github.io/llm/,"Provides a foundational understanding of large language models: how they work, how to fine-tune a pre-trained LLM, and the ethics of AI.","LLMs, AI, machine learning, fine-tuning, ethics",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Aisha Eldeeb; Eka Grguric; UBC Library Research Commons,,,,2023-12-05,2025-09-23,,Digital scholarship,,workshop,,,Prior familiarity with Python programming is recommended.,
Introduction to Machine Learning: Regression Models,https://ubc-library-rc.github.io/ml-regression/,"Provides a foundational understanding of machine learning through regression models, covering training, interpreting results, and making predictions on real-world datasets.","machine learning, regression, predictive modeling, data science, Python",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Vedant Bahel; Eka Grguric; UBC Library Research Commons,,,,2023-09-28,2026-08-21,,Digital scholarship,,workshop,,,Prior familiarity with Python programming is recommended.,
Introduction to Markdown Digital Workflows,https://ubc-library-rc.github.io/intro-markdown/,"Introduces the benefits of plain text files and Markdown for building flexible, robust, and future-proof workflows for digital scholarship and research.","Markdown, plain text, digital workflows, digital scholarship, GitHub",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Kamal Abou Mikhael; Eka Grguric; UBC Library Research Commons,,,,2020-11-30,2026-08-21,,Digital scholarship,,workshop,,,"A plain-text editor (e.g. the online editor Dillinger, or Atom).",
Introduction to Regular Expressions,https://ubc-library-rc.github.io/intro-regex/,"A hands-on, two-part introduction to regular expressions (regex), covering basic and additional syntax and finding/replacing text.","regex, regular expressions, text processing, pattern matching, search and replace",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Holly Pickering; Andrew Li; Liam Doherty; Eka Grguric; UBC Library Research Commons,,,,2021-06-30,2026-08-21,,Digital scholarship,,workshop,,,,
Introduction to Text Analysis from Voyant to NLTK,https://ubc-library-rc.github.io/intro-text-analysis/,"Introduces common tools and methods for programmatic text analysis, walking through beginner and intermediate workflows using Voyant and the Python NLTK library.","text analysis, Voyant, NLTK, Python, digital humanities",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eka Grguric; UBC Library Research Commons,,,,2020-01-31,2025-07-10,,Digital scholarship,,workshop,,,,
Introduction to the Unix Shell,https://ubc-library-rc.github.io/intro-shell/,Adapted from the Carpentries; orients complete beginners to the Unix shell.,"Unix shell, command line, bash, Carpentries, programming",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eka Grguric; UBC Library Research Commons,,,,2020-01-09,2026-07-19,,Digital scholarship,,workshop,,,,
Introduction to Web Scraping,https://ubc-library-rc.github.io/intro-web-scraping/,Introduces web scraping concepts and workflow using the Data Miner browser plugin for Chrome/Edge.,"web scraping, Data Miner, browser plugin, data collection, HTML",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eka Grguric; UBC Library Research Commons,,,,2020-01-27,2025-06-18,,Digital scholarship,,workshop,,,,
Metadata Basics: Describing Research Data,https://ubc-library-rc.github.io/intro-metadata/,"Introduces what metadata is and how it's used, how to select a metadata standard suited to a project and discipline, and how to select appropriate metadata tools.","metadata, metadata standards, research data, data description, RDM",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eka Grguric; UBC Library Research Commons,,,,2020-08-17,2025-09-23,,Digital scholarship,,workshop,,,,
Network Analysis and Visualization using Gephi and Palladio,https://ubc-library-rc.github.io/gephi-palladio/,"Introduces social network analysis (SNA) concepts and hands-on activities using Gephi and Palladio for modeling, visualizing, and analyzing network data.","Gephi, Palladio, network analysis, social network analysis, visualization",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Allan Cho; Eka Grguric; UBC Library Research Commons,,,,2019-12-13,2025-07-10,,Digital scholarship,,workshop,,,,
Research Workflows & Data Management for Digital Storytelling,https://ubc-library-rc.github.io/research-workflows-digital-storytelling/,"A survey of tools, strategies, and best practices for data workflow and management in digital storytelling projects, including file types and working with community partners.","digital storytelling, data management, workflows, community partners, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eka Grguric; UBC Library Research Commons,,,,2021-11-23,2025-07-10,,Digital scholarship,,workshop,,,,
Setting Up a Development Environment,https://ubc-library-rc.github.io/intro-development-environment/,"Explores the differences between development environments and basic text editors, and walks through setting up a development environment using Visual Studio Code.","VS Code, development environment, text editors, programming setup, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Holly Pickering; Eka Grguric; UBC Library Research Commons,,,,2021-06-23,2025-07-10,,Digital scholarship,,workshop,,,,
Geocoding and Web Mapping with Python,https://ubc-library-rc.github.io/Geocoding-Web-Mapping-with-Python/,"Covers geocoding and creating simple web maps with Python using the Mapbox API, applied to a dataset on police-involved deaths in Canada.","Python, geocoding, Mapbox API, web mapping, GIS",june.skeeter@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,June Skeeter; UBC Library Research Commons,,,,2020-07-10,2025-09-05,,Geographic information systems (GIS) and mapping,,workshop,,,,
"Geopackages, or GIS without GIS",https://ubc-library-rc.github.io/geopackage_workshop/,An introduction to using GeoPackage spatial databases without specialized geographic information systems software.,"GeoPackage, spatial database, GIS, vector data, spatial data",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Paul Lesack; UBC Library Research Commons,,,,2025-11-06,2026-02-25,,Geographic information systems (GIS) and mapping,,workshop,,,,
Georeferencing Historical Maps,https://ubc-library-rc.github.io/gis-georeferencing/,An introduction to georeferencing historical maps with QGIS.,"georeferencing, historical maps, QGIS, GIS, spatial data",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Lily Demet; UBC Library Research Commons,,,,2023-08-24,2025-09-05,,Geographic information systems (GIS) and mapping,,workshop,,,,
Geospatial Analysis and Visualization with Python,https://ubc-library-rc.github.io/Geospatial-Analysis-Visualization-with-Python/,"Covers geospatial analysis with Python, including reading/writing vector data, vector overlays, and spatial interpolation, applied to a dataset on police-involved deaths in Canada.","Python, geospatial analysis, vector data, spatial interpolation, GIS",june.skeeter@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,June Skeeter; UBC Library Research Commons,,,,2020-07-10,2025-09-05,,Geographic information systems (GIS) and mapping,,workshop,,,,
GIS with R,https://ubc-library-rc.github.io/gis-with-R/,An introductory workshop on using R for spatial data analysis in conjunction with Geographic Information Systems such as QGIS.,"R, GIS, spatial analysis, QGIS, spatial data",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Arthur Marques; UBC Library Research Commons,,,,2020-06-18,2025-09-05,,Geographic information systems (GIS) and mapping,,workshop,,,Laptop with R and RStudio installed.,
Introduction to GIS and Mapping,https://ubc-library-rc.github.io/gis-mapping-intro/,Provides an overview of the fundamental skills and concepts to begin mapmaking with QGIS; prerequisite for other GIS and Mapping workshops.,"GIS, QGIS, mapmaking, spatial data, cartography",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Lily Demet; UBC Library Research Commons,,,,2025-12-04,2026-08-09,,Geographic information systems (GIS) and mapping,,workshop,,,,
Introduction to Mapbox,https://ubc-library-rc.github.io/intro-mapbox/,"Introduces Mapbox GL JS for designing customizable, interactive web maps, including environment setup and a hands-on map-building exercise.","Mapbox, web maps, Mapbox GL JS, interactive maps, GIS",library.gis@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Lily Demet; UBC Library Research Commons,,,,2022-09-30,2025-04-07,,Geographic information systems (GIS) and mapping,,workshop,,,,
Introduction to StoryMaps with ArcGIS Online,https://ubc-library-rc.github.io/gis-storymaps/,A gentle introduction to creating StoryMaps using the free ArcGIS Online platform to visualize spatial narratives.,"StoryMaps, ArcGIS Online, spatial narratives, GIS, mapping",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Lily Demet; UBC Library Research Commons,,,,2025-02-20,2025-09-05,,Geographic information systems (GIS) and mapping,,workshop,,,,
Introduction to Web Mapping (archived),https://ubc-library-rc.github.io/gis-intro-leaflet/,"A beginner-level workshop on making interactive maps, focused on Leaflet.js.","Leaflet.js, web mapping, interactive maps, JavaScript, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,archived,Lily Demet; UBC Library Research Commons,,,,2020-02-26,2025-12-04,,Geographic information systems (GIS) and mapping,,workshop,,,,
Map Production in GIS with ArcGIS Pro,https://ubc-library-rc.github.io/intro-to-arcgis-pro/,An introductory workshop on the fundamental concepts and skills needed to begin using ArcGIS Pro for exploring and analyzing spatial data.,"ArcGIS Pro, map production, spatial analysis, GIS, cartography",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Maya Daurio; UBC Library Research Commons,,,,2021-11-09,2022-04-13,,Geographic information systems (GIS) and mapping,,workshop,,,,
Map Production with QGIS,https://ubc-library-rc.github.io/gis-intro-qgis/,An introductory workshop focusing on fundamental concepts and skills needed to begin using QGIS to explore and analyze spatial data.,"QGIS, map production, spatial data, GIS, cartography",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Elizabeth Cardoso-Fernandes; UBC Library Research Commons,,,,2020-04-01,2026-02-16,,Geographic information systems (GIS) and mapping,,workshop,,,,
Network Analysis with QGIS,https://ubc-library-rc.github.io/qgis-walkability/,Applies spatial analysis tools in QGIS to estimate and visualize a walkability index using open data from the City of Vancouver.,"QGIS, walkability, spatial analysis, network analysis, open data",library.gis@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Nicholas Martino; Lily Demet; UBC Library Research Commons,,,,2020-06-18,2025-04-07,,Geographic information systems (GIS) and mapping,,workshop,,,Familiarity with the QGIS interface and basic spatial analysis tools.,
Plugins in QGIS,https://ubc-library-rc.github.io/gis-plugins-qgis/,Extends basic knowledge of QGIS by exploring common plugins.,"QGIS, plugins, GIS, spatial analysis, mapping tools",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Lily Demet; UBC Library Research Commons,,,,2024-12-27,2025-12-09,,Geographic information systems (GIS) and mapping,,workshop,,,Familiarity with QGIS.,
Reference Mapping for Academic Publication,https://ubc-library-rc.github.io/gis-reference-mapping/,"An overview of how to create simple, static reference maps to accompany academic publications using QGIS.","reference maps, QGIS, academic publishing, cartography, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Lily Demet; UBC Library Research Commons,,,,2025-04-24,2026-08-10,,Geographic information systems (GIS) and mapping,,workshop,,,,
Telling Spatial Stories,https://ubc-library-rc.github.io/gis-spatial-stories/,Introduces a variety of mapping tools and processes for novices getting started with creating maps and spatial visualizations.,"spatial storytelling, mapping tools, GIS, visualization, cartography",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Lily Demet; UBC Library Research Commons,,,,2023-11-23,2026-01-19,,Geographic information systems (GIS) and mapping,,workshop,,,,
Thematic Mapping with QGIS,https://ubc-library-rc.github.io/gis-thematic-mapping/,"An intermediate-level workshop demonstrating how to create thematic maps, perform queries on spatial data, and edit attribute tables using QGIS.","QGIS, thematic maps, spatial queries, attribute tables, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Lily Demet; UBC Library Research Commons,,,,2025-12-04,2026-07-09,,Geographic information systems (GIS) and mapping,,workshop,,,,
Tools and Workflows in QGIS,https://ubc-library-rc.github.io/gis-tools-workflows/,"An intermediate-level workshop on common tools and workflows in QGIS: setting up a project, loading data, editing vector data, joins, selections, and vector analysis.","QGIS, vector data, spatial analysis, workflows, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Lily Demet; UBC Library Research Commons,,,,2024-06-06,2026-08-16,,Geographic information systems (GIS) and mapping,,workshop,,,Familiarity with GIS.,
Understanding Spatial Data: Map Projections,https://ubc-library-rc.github.io/map-projections/,"Familiarizes participants with foundational spatial data concepts, including coordinate reference systems, datums, and map projections, using ArcGIS Pro exercises.","map projections, coordinate reference systems, datums, ArcGIS Pro, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Maya Daurio; UBC Library Research Commons,,,,2021-11-08,2023-05-24,,Geographic information systems (GIS) and mapping,,workshop,,,,
Visualizing Data in ArcGIS Online (archived),https://ubc-library-rc.github.io/intro-AGOL/,"Introduces beginners to the ArcGIS Online platform: creating web maps, adding and symbolizing data, and building a Story Map.","ArcGIS Online, web maps, Story Map, GIS, data visualization",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,archived,"fiddleHeads (GitHub handle, real name not found); UBC Library Research Commons",,,,2020-06-02,2023-04-30,,Geographic information systems (GIS) and mapping,,workshop,,,,
File Naming,https://ubc-library-rc.github.io/rdm/content/01_file_naming.html,Learn how to name your data files.,"file naming, RDM, research data management, file organization, best practices",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2023-01-23,2026-06-01,,Research Data Management (RDM),,workshop,,,,
File Formats,https://ubc-library-rc.github.io/rdm/content/02_file_formats.html,Learn what data formats to use.,"file formats, RDM, research data management, data preservation, file types",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2023-01-23,2026-06-04,,Research Data Management (RDM),,workshop,,,,
Creating a README file,https://ubc-library-rc.github.io/rdm/content/03_create_readme.html,Learn how to create good README files.,"README, documentation, RDM, research data management, best practices",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2023-03-03,2026-07-10,,Research Data Management (RDM),,workshop,,,,
Creating a Data Dictionary,https://ubc-library-rc.github.io/rdm/content/07_data_dictionary.html,Learn how to create a good data dictionary or code book.,"data dictionary, code book, metadata, RDM, research data management",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2024-12-16,2026-07-29,,Research Data Management (RDM),,workshop,,,,
Directories Structure,https://ubc-library-rc.github.io/rdm/content/04_directory_structures.html,Learn to organize your data directories.,"directory structure, file organization, RDM, research data management, best practices",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2023-03-10,2026-07-15,,Research Data Management (RDM),,workshop,,,,
Introduction to Markdown for Research Data Management,https://ubc-library-rc.github.io/Introduction-to-Markdown/,Learn how to use Markdown with research data.,"Markdown, RDM, plain text, research data, documentation",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Vanessa Choy; Eugene Barsky; UBC Library Research Commons,,,,2025-02-21,2025-04-13,,Research Data Management (RDM),,workshop,,,,
Create a README with Markdown,https://ubc-library-rc.github.io/Introduction-to-Markdown/content/02_create_readme_with_md.html,Learn how to create a README file using Markdown.,"README, Markdown, documentation, RDM, research data management",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Vanessa Choy; Eugene Barsky; UBC Library Research Commons,,,,2025-04-13,2026-01-05,,Research Data Management (RDM),,workshop,,,,
